molecule_chembl_id,number_of_measurements,mean_pIC50,median_pIC50,min_pIC50,max_pIC50,std_pIC50,mean_IC50_nM,min_IC50_nM,max_IC50_nM,unique_assays,unique_documents,unique_SMILES,pIC50_range,variability,multiple_assays,multiple_documents,multiple_SMILES
CHEMBL550517,2,5.6020599913279625,5.6020599913279625,5.6020599913279625,5.6020599913279625,0.0,2500.0,2500.0,2500.0,2,2,1,0.0,Low,True,True,False
CHEMBL551927,2,7.199970640755866,7.199970640755866,7.199970640755866,7.199970640755866,0.0,63.1,63.1,63.1,2,2,1,0.0,Low,True,True,False
CHEMBL554693,2,5.59999938302362,5.59999938302362,5.59999938302362,5.59999938302362,0.0,2511.89,2511.89,2511.89,2,2,1,0.0,Low,True,True,False
CHEMBL554738,2,5.800000874803203,5.800000874803203,5.800000874803203,5.800000874803203,0.0,1584.89,1584.89,1584.89,2,2,1,0.0,Low,True,True,False
CHEMBL555744,2,5.300000202445418,5.300000202445418,5.300000202445418,5.300000202445418,0.0,5011.87,5011.87,5011.87,2,2,1,0.0,Low,True,True,False
CHEMBL556100,2,6.327902142064282,6.327902142064282,6.327902142064282,6.327902142064282,0.0,470.0,470.0,470.0,2,2,1,0.0,Low,True,True,False
CHEMBL556496,2,6.699991797446187,6.699991797446187,6.699991797446187,6.699991797446187,0.0,199.53,199.53,199.53,2,2,1,0.0,Low,True,True,False
CHEMBL556506,2,5.853871964321762,5.853871964321762,5.853871964321762,5.853871964321762,0.0,1400.0,1400.0,1400.0,2,2,1,0.0,Low,True,True,False
CHEMBL557110,2,7.100015437450609,7.100015437450609,7.100015437450609,7.100015437450609,0.0,79.43,79.43,79.43,2,2,1,0.0,Low,True,True,False
CHEMBL557718,2,5.207608310501746,5.207608310501746,5.207608310501746,5.207608310501746,0.0,6200.0,6200.0,6200.0,2,2,1,0.0,Low,True,True,False
CHEMBL557853,2,8.301029995663981,8.301029995663981,8.301029995663981,8.301029995663981,0.0,5.0,5.0,5.0,2,2,1,0.0,Low,True,True,False
CHEMBL558058,2,5.200000237109354,5.200000237109354,5.200000237109354,5.200000237109354,0.0,6309.57,6309.57,6309.57,2,2,1,0.0,Low,True,True,False
CHEMBL55826,2,5.09151498112135,5.09151498112135,5.09151498112135,5.09151498112135,0.0,8100.0,8100.0,8100.0,2,2,1,0.0,Low,True,True,False
CHEMBL559873,2,6.0999990348465305,6.0999990348465305,6.0999990348465305,6.0999990348465305,0.0,794.33,794.33,794.33,2,2,1,0.0,Low,True,True,False
CHEMBL560270,2,5.800000874803203,5.800000874803203,5.800000874803203,5.800000874803203,0.0,1584.89,1584.89,1584.89,2,2,1,0.0,Low,True,True,False
CHEMBL560386,2,5.309803919971486,5.309803919971486,5.309803919971486,5.309803919971486,0.0,4900.0,4900.0,4900.0,2,2,1,0.0,Low,True,True,False
CHEMBL560863,2,5.537602002101044,5.537602002101044,5.537602002101044,5.537602002101044,0.0,2900.0,2900.0,2900.0,2,2,1,0.0,Low,True,True,False
CHEMBL560923,2,8.356547323513812,8.356547323513812,8.356547323513812,8.356547323513812,0.0,4.4,4.4,4.4,2,2,1,0.0,Low,True,True,False
CHEMBL561128,2,8.100015437450608,8.100015437450608,8.100015437450608,8.100015437450608,0.0,7.943,7.943,7.943,2,2,1,0.0,Low,True,True,False
CHEMBL561324,2,5.769551078621726,5.769551078621726,5.769551078621726,5.769551078621726,0.0,1700.0,1700.0,1700.0,2,2,1,0.0,Low,True,True,False
CHEMBL561326,2,6.599997654072045,6.599997654072045,6.599997654072045,6.599997654072045,0.0,251.19,251.19,251.19,2,2,1,0.0,Low,True,True,False
CHEMBL562464,2,7.199970640755866,7.199970640755866,7.199970640755866,7.199970640755866,0.0,63.1,63.1,63.1,2,2,1,0.0,Low,True,True,False
CHEMBL562722,2,5.154901959985743,5.154901959985743,5.154901959985743,5.154901959985743,0.0,7000.0,7000.0,7000.0,2,2,1,0.0,Low,True,True,False
CHEMBL562833,2,6.0999990348465305,6.0999990348465305,6.0999990348465305,6.0999990348465305,0.0,794.33,794.33,794.33,2,2,1,0.0,Low,True,True,False
CHEMBL562836,2,5.499999678657065,5.499999678657065,5.499999678657065,5.499999678657065,0.0,3162.28,3162.28,3162.28,2,2,1,0.0,Low,True,True,False
CHEMBL562870,2,4.853871964321762,4.853871964321762,4.853871964321762,4.853871964321762,0.0,14000.0,14000.0,14000.0,2,2,1,0.0,Low,True,True,False
CHEMBL562948,2,5.40000018605658,5.40000018605658,5.40000018605658,5.40000018605658,0.0,3981.07,3981.07,3981.07,2,2,1,0.0,Low,True,True,False
CHEMBL563274,2,5.499999678657065,5.499999678657065,5.499999678657065,5.499999678657065,0.0,3162.28,3162.28,3162.28,2,2,1,0.0,Low,True,True,False
